Vi tri,He so,Muc tieu,So san pham,Thoi gian
Position 3,0,0,1,"06/03/2021, 17:00:58"
Position 3,3,80,2,"06/03/2021, 17:01:01"
Position 3,3,80,3,"06/03/2021, 17:01:03"
Position 3,3,80,4,"06/03/2021, 17:01:04"
Position 3,3,80,5,"06/03/2021, 17:01:06"
Position 3,3,80,6,"06/03/2021, 17:01:07"
Position 3,3,80,7,"06/03/2021, 17:01:09"
Position 3,3,80,8,"06/03/2021, 17:01:10"
Position 3,3,80,9,"06/03/2021, 17:01:12"
Position 3,3,80,10,"06/03/2021, 17:01:22"
Position 3,3,80,11,"06/03/2021, 17:01:23"
Position 3,3,80,12,"06/03/2021, 17:01:25"
Position 3,3,80,13,"06/03/2021, 17:01:27"
Position 3,3,80,1,"06/03/2021, 17:02:59"
Position 3,3,80,2,"06/03/2021, 17:03:01"
Position 3,3,80,3,"06/03/2021, 17:03:04"
Position 3,3,80,4,"06/03/2021, 17:03:06"
Position 3,3,80,5,"06/03/2021, 17:03:28"
Position 3,10,1000,6,"06/03/2021, 17:03:32"
Position 3,10,1000,7,"06/03/2021, 17:03:35"
Position 3,10,1000,8,"06/03/2021, 17:03:37"
Position 3,10,1000,9,"06/03/2021, 17:03:39"
Position 3,10,1000,10,"06/03/2021, 17:03:40"
Position 3,10,1000,11,"06/03/2021, 17:03:43"
Position 3,10,1000,12,"06/03/2021, 17:04:45"
